Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_931.jpg;0;0.80559;0;2.508301;102.4767;88.81456;1.331751;46.39897;-0.001304972
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_34_981.jpg;3.000901;0.60553;0;2.550117;102.5819;88.92547;1.318596;46.55684;0.0004825098
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_031.jpg;4.508262;0.5050393;0;2.564204;102.6513;89.00063;1.297025;46.83398;0.01338059
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_098.jpg;7.503692;0.305344;0;2.577042;102.7867;89.15392;1.191821;47.90049;0.09984158
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_147.jpg;10.50601;0.1051897;0;2.581482;102.8518;89.23186;1.09552;48.67413;0.1749834
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_213.jpg;12.80829;0;0;2.574389;102.9451;89.35042;0.8904656;50.12504;0.3472912
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_281.jpg;15;0;0;2.560571;103.0602;89.5115;0.509484;52.57702;0.698689
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_331.jpg;15;0;0;2.548206;103.1141;89.59274;0.2722028;53.86976;0.8980485
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_400.jpg;15;0;0;2.535663;103.217;89.75739;359.8167;56.40288;1.280893
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_448.jpg;15;0;0;2.528885;103.2685;89.84161;359.7193;57.57027;1.341434
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_498.jpg;15;0;0;2.513558;103.3444;89.97112;359.7367;59.28942;1.276902
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_547.jpg;15;0;0;2.499962;103.3927;90.05963;359.8218;60.4557;1.182121
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_596.jpg;15;0;0;2.477247;103.4383;90.14967;359.941;61.67262;1.073487
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_664.jpg;15;0;0;2.468975;103.5174;90.33145;0.03878594;64.28972;1.033328
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_730.jpg;15;0;0;2.456551;103.57;90.46802;0.01195967;66.28922;1.077962
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_780.jpg;15;0;0;2.446968;103.6185;90.60529;359.9779;68.2408;1.118763
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_848.jpg;15;0;0;2.439982;103.6627;90.74384;359.9735;70.15668;1.153035
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_899.jpg;15;0;0;2.427136;103.7024;90.88377;0.01387525;72.07521;1.171232
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_35_947.jpg;15;0;0;2.41648;103.7267;90.97652;-0.0005573408;73.34269;1.14727
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_014.jpg;15;0;0;2.404281;103.758;91.11648;359.9888;75.25711;1.129422
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_081.jpg;15;0;0;2.394272;103.7917;91.3037;359.9751;77.80704;1.123626
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_130.jpg;15;0;0;2.386783;103.8053;91.39766;359.9813;79.08748;1.137799
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_181.jpg;15;0;0;2.372002;103.8218;91.5389;0.01294693;81.00137;1.162018
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_231.jpg;15;0;0;2.364724;103.8307;91.63228;-0.002662927;82.26655;1.150056
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_281.jpg;15;0;0;2.353192;103.8398;91.77243;359.9914;84.1525;1.128342
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_347.jpg;15;0;0;2.347199;103.8438;91.91221;359.9865;86.03577;1.108468
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_414.jpg;12.12429;0;0;2.333746;103.8437;92.05173;359.9907;87.77454;1.114423
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_464.jpg;9.114036;0;0;2.326466;103.8417;92.19088;359.9941;89.19106;1.080909
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_514.jpg;7.612025;0;0;2.322159;103.8392;92.28334;359.9897;89.96278;1.050497
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_564.jpg;4.606111;0;0.09576839;2.315114;103.8346;92.42142;359.9702;90.82794;1.005541
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_612.jpg;2.361767;0;0.2453913;2.284491;103.8314;92.51218;359.9308;91.22864;0.9635718
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_680.jpg;0.04439316;0;0.3998829;2.242946;103.8264;92.6863;359.7071;91.55225;0.8152187
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_730.jpg;0;0;0.5434689;2.187709;103.8246;92.7681;359.5089;91.59198;0.7025111
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_780.jpg;0;0;0.7438749;2.034777;103.8228;92.88329;359.1412;91.63361;0.4412329
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_831.jpg;0;0;0.8442867;1.978585;103.8219;92.95482;358.8643;91.71429;0.2073821
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_880.jpg;0;0;1;1.787244;103.819;93.05618;358.5128;91.85361;359.8499
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_947.jpg;0;0;1;1.716211;103.8124;93.15324;358.3343;92.10492;359.7054
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_36_997.jpg;0;0;1;1.561059;103.8067;93.21597;358.3285;92.42621;359.7308
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_064.jpg;0;0;1;1.484187;103.793;93.33634;358.5645;93.37766;0.006255434
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_131.jpg;0;0;1;1.31975;103.7875;93.4185;358.8474;93.87469;0.001168205
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_197.jpg;0;0;1;1.038672;103.7832;93.47942;358.7262;93.91235;-0.001481847
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_247.jpg;0;0;1;0.8833357;103.78;93.52852;358.5309;93.93048;359.9939
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_314.jpg;0;0;1;0.7556911;103.7768;93.57311;358.4899;94.00269;0.007029425
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_364.jpg;0;0;1;0.6347677;103.7743;93.60792;358.5387;94.13983;-0.005642908
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_417.jpg;0;0;0;0.4670884;103.7728;93.6285;358.6354;94.19116;-0.004420782
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_464.jpg;0;0;0;0.4659732;103.7705;93.66104;358.914;94.20923;0.005549198
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_514.jpg;0;0;0;0.4600801;103.7691;93.68281;359.1106;94.20502;0.007423297
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_581.jpg;0;0;0;0.4581373;103.766;93.72577;359.48;94.20511;0.02368012
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_630.jpg;0;0;0;0.4565468;103.7644;93.74697;359.6526;94.20511;0.03079966
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_681.jpg;0;0;0;0.4555502;103.7621;93.77836;359.8914;94.20514;0.0401342
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_730.jpg;0;0;0;0.4541409;103.7606;93.79898;0.03540875;94.20514;0.04544187
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_797.jpg;0;0;0;0.4528205;103.7584;93.82939;0.2261415;94.20514;0.05202017
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_847.jpg;0;0;0;0.4519814;103.7562;93.85918;0.3846408;94.20514;0.05695575
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_897.jpg;0;0.2001714;0;0.4410493;103.7548;93.87833;0.4642783;94.20901;0.05933628
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_37_964.jpg;0;0.3565779;0;0.4502537;103.7522;93.91663;0.5885872;94.11783;0.05096284
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_014.jpg;0;0.4998765;0;0.474719;103.7508;93.93678;0.6550525;94.02591;0.03980269
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_062.jpg;0;0.2984718;0;0.4941561;103.7487;93.9681;0.7562491;94.08282;0.01423478
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_130.jpg;0;0.1445163;0;0.496119;103.7465;93.99917;0.823411;94.01294;-0.00223416
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_195.jpg;2.916018;0;0;0.5172702;103.7437;94.03098;0.8808736;94.06647;-0.0007706051
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_246.jpg;5.934217;0;0;0.5157483;103.7405;94.06207;0.8980092;94.25006;0.002959523
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_312.jpg;8.256637;0;0;0.5141235;103.7366;94.09232;0.877107;94.52017;0.0158475
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_364.jpg;11.17452;0;0;0.5116797;103.732;94.12175;0.8231738;94.90326;0.04291795
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_414.jpg;12.67832;0;0;0.5100572;103.7286;94.14098;0.7723213;95.20218;0.06687132
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_481.jpg;15;0;0;0.5068057;103.7208;94.17852;0.6415933;95.90588;0.1299826
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_530.jpg;12.02767;0;0;0.5050467;103.7171;94.19711;0.5694556;96.21771;0.1568305
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_580.jpg;10.51467;0;0;0.50459;103.7117;94.22492;0.4573396;96.61029;0.1887972
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_630.jpg;7.523277;0;0;0.5034836;103.7083;94.24342;0.3806028;96.8157;0.201677
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_697.jpg;7.170612;0;0;0.5023398;103.7035;94.27112;0.26486;97.06665;0.2128643
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_747.jpg;7.881289;0;0;0.5010617;103.6984;94.29868;0.150222;97.34311;0.2258217
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_38_797.jpg;5.041426;0;0;0.4985268;103.6949;94.317;0.07607219;97.5397;0.2348779
